p1		p2	
4706	NDUFAB1	4713	NDUFB7
4706	NDUFAB1	4709	NDUFB3
4706	NDUFAB1	374291	NDUFS7
4706	NDUFAB1	4722	NDUFS3
4706	NDUFAB1	4708	NDUFB2
4706	NDUFAB1	4695	NDUFA2
4706	NDUFAB1	4705	NDUFA10
4706	NDUFAB1	4711	NDUFB5
4706	NDUFAB1	4704	NDUFA9
4706	NDUFAB1	4717	NDUFC1
4706	NDUFAB1	4716	NDUFB10
4706	NDUFAB1	4726	NDUFS6
4706	NDUFAB1	54539	NDUFB11
4706	NDUFAB1	4715	NDUFB9
4706	NDUFAB1	4718	NDUFC2
4706	NDUFAB1	4724	NDUFS4
4706	NDUFAB1	4728	NDUFS8
4706	NDUFAB1	4714	NDUFB8
4706	NDUFAB1	28976	ACAD9
4706	NDUFAB1	4698	NDUFA5
4706	NDUFAB1	55967	NDUFA12
4706	NDUFAB1	4723	NDUFV1
4706	NDUFAB1	4729	NDUFV2
4706	NDUFAB1	4707	NDUFB1
4706	NDUFAB1	4731	NDUFV3
3675	ITGA3	3690	ITGB3
3675	ITGA3	3688	ITGB1
83741	TFAP2D	79047	KCTD15
83741	TFAP2D	284252	KCTD1
1407	CRY1	1454	CSNK1E
1407	CRY1	8864	PER2
1407	CRY1	5187	PER1
1407	CRY1	9575	CLOCK
1407	CRY1	4862	NPAS2
1407	CRY1	1453	CSNK1D
1407	CRY1	8863	PER3
1407	CRY1	406	ARNTL
1407	CRY1	1408	CRY2
972	CD74	3123	HLA-DRB1
972	CD74	3127	HLA-DRB5
920	CD4	7535	ZAP70
920	CD4	925	CD8A
920	CD4	3932	LCK
920	CD4	6850	SYK
5536	PPP5C	3320	HSP90AA1
5536	PPP5C	2289	FKBP5
2067	ERCC1	472	ATM
2067	ERCC1	7508	XPC
2067	ERCC1	2071	ERCC3
2067	ERCC1	2177	FANCD2
2067	ERCC1	2176	FANCC
2067	ERCC1	1642	DDB1
2067	ERCC1	80198	MUS81
2067	ERCC1	2072	ERCC4
2067	ERCC1	55215	FANCI
2067	ERCC1	5426	POLE
2067	ERCC1	2073	ERCC5
2067	ERCC1	2074	ERCC6
2067	ERCC1	5887	RAD23B
2067	ERCC1	3981	LIG4
2067	ERCC1	56949	XAB2
2067	ERCC1	2547	XRCC6
2067	ERCC1	9937	DCLRE1A
2067	ERCC1	64858	DCLRE1B
2067	ERCC1	7507	XPA
2067	ERCC1	64421	DCLRE1C
2067	ERCC1	5111	PCNA
2067	ERCC1	5983	RFC3
2067	ERCC1	2175	FANCA
2067	ERCC1	146956	EME1
2067	ERCC1	2068	ERCC2
2067	ERCC1	7520	XRCC5
2067	ERCC1	55120	FANCL
2067	ERCC1	5424	POLD1
2067	ERCC1	2966	GTF2H2
2067	ERCC1	4436	MSH2
2067	ERCC1	6117	RPA1
2067	ERCC1	2956	MSH6
2067	ERCC1	1022	CDK7
2067	ERCC1	2965	GTF2H1
2067	ERCC1	1161	ERCC8
2067	ERCC1	57697	FANCM
11136	SLC7A9	6519	SLC3A1
11136	SLC7A9	6520	SLC3A2
2554	GABRA1	2562	GABRB3
2554	GABRA1	2561	GABRB2
2554	GABRA1	2560	GABRB1
2554	GABRA1	55879	GABRQ
2554	GABRA1	2566	GABRG2
2554	GABRA1	10243	GPHN
9821	RB1CC1	8408	ULK1
9821	RB1CC1	9706	ULK2
9821	RB1CC1	9776	ATG13
1015	CDH17	3728	JUP
1015	CDH17	1500	CTNND1
11345	GABARAPL2	64422	ATG3
11345	GABARAPL2	10533	ATG7
65078	RTN4R	4804	NGFR
65078	RTN4R	4974	OMG
65078	RTN4R	57142	RTN4
65078	RTN4R	84894	LINGO1
65078	RTN4R	4099	MAG
5685	PSMA4	5689	PSMB1
5685	PSMA4	5717	PSMD11
5685	PSMA4	5713	PSMD7
5685	PSMA4	5704	PSMC4
5685	PSMA4	5716	PSMD10
5685	PSMA4	5684	PSMA3
5685	PSMA4	5714	PSMD8
5685	PSMA4	5721	PSME2
5685	PSMA4	9097	USP14
5685	PSMA4	5683	PSMA2
5685	PSMA4	5691	PSMB3
5685	PSMA4	11047	ADRM1
5685	PSMA4	5687	PSMA6
5685	PSMA4	5695	PSMB7
5685	PSMA4	5700	PSMC1
5685	PSMA4	5709	PSMD3
5685	PSMA4	5694	PSMB6
5685	PSMA4	5686	PSMA5
5685	PSMA4	10197	PSME3
5685	PSMA4	5692	PSMB4
5685	PSMA4	5701	PSMC2
5685	PSMA4	5707	PSMD1
5685	PSMA4	9861	PSMD6
5685	PSMA4	9491	PSMF1
5685	PSMA4	5702	PSMC3
5685	PSMA4	5708	PSMD2
5685	PSMA4	5705	PSMC5
5685	PSMA4	143471	PSMA8
5685	PSMA4	5699	PSMB10
5685	PSMA4	5718	PSMD12
5685	PSMA4	5693	PSMB5
5685	PSMA4	51377	UCHL5
5685	PSMA4	5710	PSMD4
5685	PSMA4	5688	PSMA7
5685	PSMA4	5690	PSMB2
5685	PSMA4	23198	PSME4
5685	PSMA4	5720	PSME1
5685	PSMA4	122706	PSMB11
5685	PSMA4	10213	PSMD14
5685	PSMA4	5706	PSMC6
5685	PSMA4	5719	PSMD13
5685	PSMA4	5682	PSMA1
