V1	V2	V3	V4
YY1	7528	YIPF3	25844
YY1	7528	XRRA1	143570
YY1	7528	XKR6	286046
YY1	7528	WDR34	89891
YY1	7528	WDR13	64743
YY1	7528	WDFY3-AS2	404201
YY1	7528	VMAC	400673
YY1	7528	USF2	7392
YY1	7528	UNC119B	84747
YY1	7528	UBXN4	23190
YY1	7528	UBE3C	9690
YY1	7528	UBE2R2	54926
YY1	7528	UBA1	7317
YY1	7528	TUG1	55000
YY1	7528	TSKU	25987
YY1	7528	TRIP12	9320
YY1	7528	TRAPPC6B	122553
YY1	7528	TRA2B	6434
YY1	7528	TPGS2	25941
YY1	7528	TOR1AIP2	163590
YY1	7528	TOP3A	7156
YY1	7528	TNNC1	7134
YY1	7528	TMEM187	8269
YY1	7528	TMEM131	23505
YY1	7528	TLK1	9874
YY1	7528	TIA1	7072
YY1	7528	THAP1	55145
YY1	7528	TCF4	6925
YY1	7528	TCEANC2	127428
YY1	7528	TBXAS1	6916
YY1	7528	TAX1BP3	30851
YY1	7528	TAF15	8148
YY1	7528	SYMPK	8189
YY1	7528	SRR	63826
YY1	7528	SP3	6670
YY1	7528	SNORD35A	26816
YY1	7528	SNORD34	26817
YY1	7528	SNORD33	26818
YY1	7528	SNORD32A	26819
YY1	7528	SNORA72	26775
YY1	7528	SNORA38	677820
YY1	7528	SNAP25	6616
YY1	7528	SHROOM1	134549
YY1	7528	SF3B3	23450
YY1	7528	SF3A1	10291
YY1	7528	SET	6418
YY1	7528	SERP1	27230
YY1	7528	SERBP1	26135
YY1	7528	SEPT7	989
YY1	7528	SEPT2	4735
YY1	7528	RRAS	6237
YY1	7528	RPS28	6234
YY1	7528	RPS27A	6233
YY1	7528	RPP25L	138716
YY1	7528	RPL8	6132
YY1	7528	RPL36	25873
YY1	7528	RPL35A	6165
YY1	7528	RPL30	6156
YY1	7528	RPL27	6155
YY1	7528	RPAIN	84268
YY1	7528	RNF167	26001
YY1	7528	RIMS2	9699
YY1	7528	RER1	11079
YY1	7528	RBM5	10181
YY1	7528	RBM26	64062
YY1	7528	RAPH1	65059
YY1	7528	RAN	5901
YY1	7528	RAD21	5885
YY1	7528	RAB22A	57403
YY1	7528	RAB13	5872
YY1	7528	PTMA	5757
YY1	7528	PTGES3L-AARSD1	100885850
YY1	7528	PTGES3L	100885848
YY1	7528	PTCD2	79810
YY1	7528	PSMB3	5691
YY1	7528	PSMB1	5689
YY1	7528	PRRC2C	23215
YY1	7528	PRRC2A	7916
YY1	7528	PRPF38B	55119
YY1	7528	PRPF38A	84950
YY1	7528	PPP4R1L	55370
YY1	7528	PPP2R2A	5520
YY1	7528	PPP2CA	5515
YY1	7528	PPP1R21	129285
YY1	7528	PPIA	5478
YY1	7528	POLR1A	25885
YY1	7528	POLL	27343
YY1	7528	POLK	51426
YY1	7528	PHF15	23338
YY1	7528	PHB2	11331
YY1	7528	PCNT	5116
YY1	7528	PCBP1	5093
YY1	7528	PBX3	5090
YY1	7528	NUTF2	10204
YY1	7528	NFYC	4802
YY1	7528	NFKBIL1	4795
YY1	7528	NFAT5	10725
YY1	7528	NEU1	4758
YY1	7528	NCDN	23154
YY1	7528	NASP	4678
YY1	7528	NACA	4666
YY1	7528	MYLK-AS1	100506826
YY1	7528	MUTYH	4595
YY1	7528	MTHFR	4524
YY1	7528	MTFP1	51537
YY1	7528	MRPL47	57129
YY1	7528	MPZ	4359
YY1	7528	MLL5	55904
YY1	7528	MIR92A1	407048
YY1	7528	MIR762	100313837
YY1	7528	MIR4797	100616216
YY1	7528	MIR4781	100616315
YY1	7528	MIR4522	100616277
YY1	7528	MIR4426	100616345
YY1	7528	MIR3665	100500861
YY1	7528	MIR3610	100500914
YY1	7528	MIR320A	407037
YY1	7528	MIR3124	100422879
YY1	7528	MIR2110	100302224
YY1	7528	MIR20A	406982
YY1	7528	MIR19B1	406980
YY1	7528	MIR19A	406979
YY1	7528	MIR18A	406953
YY1	7528	MIR17	406952
YY1	7528	MCFD2	90411
YY1	7528	LSM14A	26065
YY1	7528	LSM1	27257
YY1	7528	LOC730183	730183
YY1	7528	LOC645212	645212
YY1	7528	LOC254559	254559
YY1	7528	LOC148413	148413
YY1	7528	LOC100630918	100630918
YY1	7528	LOC100133315	100133315
YY1	7528	LOC100131208	100131208
YY1	7528	LOC100131193	100131193
YY1	7528	KPTN	11133
YY1	7528	KLHL28	54813
YY1	7528	KIF20A	10112
YY1	7528	KANSL1	284058
YY1	7528	IWS1	55677
YY1	7528	ITIH2	3698
YY1	7528	INO80E	283899
YY1	7528	IDH3G	3421
YY1	7528	ICK	22858
YY1	7528	HTT-AS1	100750326
YY1	7528	HSP90AA1	3320
YY1	7528	HIPK2	28996
YY1	7528	HIF1A	3091
YY1	7528	HHLA3	11147
YY1	7528	HARS2	23438
YY1	7528	GTF3C2	2976
YY1	7528	GTF2E1	2960
YY1	7528	GPR137	56834
YY1	7528	GPBP1L1	60313
YY1	7528	GGPS1	9453
YY1	7528	GDI1	2664
YY1	7528	GAPDH	2597
YY1	7528	GANC	2595
YY1	7528	GALR2	8811
YY1	7528	GAL3ST3	89792
YY1	7528	G6PC3	92579
YY1	7528	FLJ39653	202020
YY1	7528	FHIT	2272
YY1	7528	FGD5-AS1	100505641
YY1	7528	FAU	2197
YY1	7528	FANCM	57697
YY1	7528	FANCD2	2177
YY1	7528	FAM76B	143684
YY1	7528	FAM193B	54540
YY1	7528	EXOSC5	56915
YY1	7528	ECEL1P2	347694
YY1	7528	DTL	51514
YY1	7528	DRAP1	10589
YY1	7528	DQX1	165545
YY1	7528	DOLK	22845
YY1	7528	DNM1	1759
YY1	7528	DLG4	1742
YY1	7528	DLG1	1739
YY1	7528	DEXI	28955
YY1	7528	DEAF1	10522
YY1	7528	DDX6	1656
YY1	7528	DDX49	54555
YY1	7528	DCAKD	79877
YY1	7528	CYB5D2	124936
YY1	7528	CTF1	1489
YY1	7528	CTDSP1	58190
YY1	7528	CTCF	10664
YY1	7528	CSNK2A1	1457
YY1	7528	CSAD	51380
YY1	7528	CRAT	1384
YY1	7528	CNPY4	245812
YY1	7528	CNOT3	4849
YY1	7528	CNOT2	4848
YY1	7528	CMTM3	123920
YY1	7528	CHD3	1107
YY1	7528	CHCHD10	400916
YY1	7528	CGREF1	10669
YY1	7528	CEP135	9662
YY1	7528	CELSR3	1951
YY1	7528	CDC34	997
YY1	7528	CCT6B	10693
YY1	7528	CCDC96	257236
YY1	7528	CCDC151	115948
YY1	7528	CATSPERG	57828
YY1	7528	CAPZA1	829
YY1	7528	C9orf163	158055
YY1	7528	C17orf56	146705
YY1	7528	C16orf93	90835
YY1	7528	C16orf72	29035
YY1	7528	C15orf37	283687
YY1	7528	C12orf61	283416
YY1	7528	C11orf30	56946
YY1	7528	C10orf118	55088
YY1	7528	BTF3	689
YY1	7528	BSCL2	26580
YY1	7528	BRD3	8019
YY1	7528	BRAF	673
YY1	7528	BOP1	23246
YY1	7528	B3GALT6	126792
YY1	7528	ATP5G2	517
YY1	7528	ATP5G1	516
YY1	7528	ATP5F1	515
YY1	7528	ASB2	51676
YY1	7528	ARV1	64801
YY1	7528	ARCN1	372
YY1	7528	APOA2	336
YY1	7528	APIP	51074
YY1	7528	AP3D1	8943
YY1	7528	ALOXE3	59344
YY1	7528	ALG12	79087
YY1	7528	AKT1S1	84335
YY1	7528	AKIRIN2	55122
YY1	7528	AKAP3	10566
YY1	7528	ADAMTS4	9507
YY1	7528	ACTRT3	84517
YY1	7528	ACTR8	93973
YY1	7528	ACTR3	10096
YY1	7528	ACADVL	37
USF1	7391	ZPBP2	124626
USF1	7391	ZNF503	84858
USF1	7391	ZMYND12	84217
USF1	7391	ZFYVE26	23503
USF1	7391	ZFP91-CNTF	386607
USF1	7391	ZFP91	80829
USF1	7391	ZFP36L2	678
USF1	7391	ZCCHC7	84186
USF1	7391	ZBTB24	9841
USF1	7391	YIPF2	78992
USF1	7391	WNT10A	80326
USF1	7391	WDR81	124997
USF1	7391	WDR65	149465
USF1	7391	VWA2	340706
USF1	7391	VPS37B	79720
USF1	7391	VPS33A	65082
USF1	7391	VPS26A	9559
USF1	7391	VPS16	64601
USF1	7391	VPS11	55823
USF1	7391	VAPA	9218
USF1	7391	VAC14	55697
USF1	7391	UTP20	27340
USF1	7391	UTP18	51096
USF1	7391	USP9X	8239
USF1	7391	UBE2B	7320
USF1	7391	UBA1	7317
USF1	7391	TXNDC5	81567
USF1	7391	TTLL6	284076
USF1	7391	TSPAN4	7106
USF1	7391	TSC1	7248
USF1	7391	TRPM7	54822
USF1	7391	TRMT2A	27037
USF1	7391	TRIM37	4591
USF1	7391	TRIM25	7706
USF1	7391	TOM1L2	146691
USF1	7391	TOM1	10043
USF1	7391	TNXB	7148
USF1	7391	TNXA	7146
USF1	7391	TMEM91	641649
USF1	7391	TMEM8C	389827
USF1	7391	TMEM171	134285
USF1	7391	TMED10	10972
USF1	7391	TGFB2	7042
USF1	7391	TET2	54790
USF1	7391	TEF	7008
USF1	7391	TCN2	6948
USF1	7391	TBKBP1	9755
USF1	7391	TBC1D5	9779
USF1	7391	TAF6L	10629
USF1	7391	SYT5	6861
USF1	7391	SYNRG	11276
USF1	7391	SYNCRIP	10492
USF1	7391	SUMF1	285362
USF1	7391	STT3B	201595
USF1	7391	STMN1	3925
USF1	7391	STK19	8859
USF1	7391	STK16	8576
USF1	7391	SRM	6723
USF1	7391	SREK1	140890
USF1	7391	SQSTM1	8878
USF1	7391	SPRYD4	283377
USF1	7391	SPAG7	9552
USF1	7391	SOX11	6664
USF1	7391	SOS1	6654
USF1	7391	SOCS5	9655
USF1	7391	SNX8	29886
USF1	7391	SNORD86	692201
USF1	7391	SNORD82	25826
USF1	7391	SNORD57	26792
USF1	7391	SNORD56	26793
USF1	7391	SNORD110	692213
USF1	7391	SNORA51	677831
USF1	7391	SNORA21	619505
USF1	7391	SNAI1	6615
USF1	7391	SLC7A5	8140
USF1	7391	SLC4A2	6522
USF1	7391	SLC39A8	64116
USF1	7391	SLC39A14	23516
USF1	7391	SLC38A9	153129
USF1	7391	SLC36A1	206358
USF1	7391	SLC33A1	9197
USF1	7391	SLC25A51	92014
USF1	7391	SLC25A46	91137
USF1	7391	SLC25A44	9673
USF1	7391	SLC25A39	51629
USF1	7391	SLC25A32	81034
USF1	7391	SLC20A1	6574
USF1	7391	SLC1A5	6510
USF1	7391	SLC19A1	6573
USF1	7391	SLC16A13	201232
USF1	7391	SLC16A1	6566
USF1	7391	SLC12A6	9990
USF1	7391	SIRT2	22933
USF1	7391	SIRT1	23411
USF1	7391	SHC2	25759
USF1	7391	SGTB	54557
USF1	7391	SFXN2	118980
USF1	7391	SET	6418
USF1	7391	SERPINE2	5270
USF1	7391	SERPINE1	5054
USF1	7391	SEPT3	55964
USF1	7391	SEMA4B	10509
USF1	7391	SELRC1	65260
USF1	7391	SEC24A	10802
USF1	7391	SEC1	653677
USF1	7391	SCYL1	57410
USF1	7391	SATB2	23314
USF1	7391	SASH3	54440
USF1	7391	RUSC1	23623
USF1	7391	RUFY3	22902
USF1	7391	RPL23	9349
USF1	7391	RPIA	22934
USF1	7391	RORC	6097
USF1	7391	RNLS	55328
USF1	7391	RNF146	81847
USF1	7391	RNF128	79589
USF1	7391	RNASEK-C17ORF49	100529209
USF1	7391	RNASEK	440400
USF1	7391	RMND1	55005
USF1	7391	RLF	6018
USF1	7391	RHEBL1	121268
USF1	7391	RGL1	23179
USF1	7391	RDH5	5959
USF1	7391	RCOR2	283248
USF1	7391	RBM18	92400
USF1	7391	RBM15B	29890
USF1	7391	RBBP6	5930
USF1	7391	RASSF1	11186
USF1	7391	RASAL3	64926
USF1	7391	RARG	5916
USF1	7391	RAPGEF3	10411
USF1	7391	RALGDS	5900
USF1	7391	RAI14	26064
USF1	7391	RABEP1	9135
USF1	7391	RAB21	23011
USF1	7391	PURA	5813
USF1	7391	PTPRS	5802
USF1	7391	PTPDC1	138639
USF1	7391	PTGES2	80142
USF1	7391	PTCH1	5727
USF1	7391	PSMB10	5699
USF1	7391	PRRT2	112476
USF1	7391	PRR7	80758
USF1	7391	PRMT1	3276
USF1	7391	PRELID1	27166
USF1	7391	PRDX4	10549
USF1	7391	PPRC1	23082
USF1	7391	PPFIBP2	8495
USF1	7391	PPAT	5471
USF1	7391	PLEKHA6	22874
USF1	7391	PLBD2	196463
USF1	7391	PLA2G4A	5321
USF1	7391	PKN1	5585
USF1	7391	PKLR	5313
USF1	7391	PKD1P1	339044
USF1	7391	PIP4K2C	79837
USF1	7391	PIGP	51227
USF1	7391	PICALM	8301
USF1	7391	PIAS4	51588
USF1	7391	PI4KA	5297
USF1	7391	PHF20	51230
USF1	7391	PFN1	5216
USF1	7391	PER1	5187
USF1	7391	PECR	55825
USF1	7391	PDX1	3651
USF1	7391	PDK2	5164
USF1	7391	PDE4A	5141
USF1	7391	PCP2	126006
USF1	7391	PCID2	55795
USF1	7391	PBRM1	55193
USF1	7391	PANK3	79646
USF1	7391	PAK1IP1	55003
USF1	7391	OSBPL8	114882
USF1	7391	ORAI2	80228
USF1	7391	OGDHL	55753
USF1	7391	NSD1	64324
USF1	7391	NRIP3	56675
USF1	7391	NRAS	4893
USF1	7391	NR5A1	2516
USF1	7391	NPTN	27020
USF1	7391	NPM1	4869
USF1	7391	NOTCH3	4854
USF1	7391	NOP56	10528
USF1	7391	NNT	23530
USF1	7391	NME2	4831
USF1	7391	NIT1	4817
USF1	7391	NHLRC1	378884
USF1	7391	NDUFS1	4719
USF1	7391	NDUFC1	4717
USF1	7391	NDUFAF4	29078
USF1	7391	NCL	4691
USF1	7391	NADK	65220
USF1	7391	NAA50	80218
USF1	7391	MYL12A	10627
USF1	7391	MXD4	10608
USF1	7391	MTHFR	4524
USF1	7391	MTHFD1L	25902
USF1	7391	MSN	4478
USF1	7391	MSI2	124540
USF1	7391	MRPS2	51116
USF1	7391	MRPL40	64976
USF1	7391	MRPL27	51264
USF1	7391	MORC2	22880
USF1	7391	MON1A	84315
USF1	7391	MLLT1	4298
USF1	7391	MKLN1	4289
USF1	7391	MIRLET7I	406891
USF1	7391	MIR762	100313837
USF1	7391	MIR5088	100847074
USF1	7391	MIR5008	100847072
USF1	7391	MIR4797	100616216
USF1	7391	MIR3917	100500808
USF1	7391	MIR3618	100500860
USF1	7391	MIR320A	407037
USF1	7391	MIR18B	574033
USF1	7391	MIR143HG	728264
USF1	7391	MIR142	406934
USF1	7391	MIR1306	100302197
USF1	7391	MIR1292	100302138
USF1	7391	MIR106A	406899
USF1	7391	MFSD5	84975
USF1	7391	MFSD11	79157
USF1	7391	MFHAS1	9258
USF1	7391	MEGF8	1954
USF1	7391	MCOLN1	57192
USF1	7391	MCM8	84515
USF1	7391	MC1R	4157
USF1	7391	MAT2A	4144
USF1	7391	MAPRE1	22919
USF1	7391	MAPKAPK3	7867
USF1	7391	MAGI2-AS3	100505881
USF1	7391	MAFG-AS1	92659
USF1	7391	LZTS2	84445
USF1	7391	LZTFL1	54585
USF1	7391	LYPD1	116372
USF1	7391	LYL1	4066
USF1	7391	LYAR	55646
USF1	7391	LTBP4	8425
USF1	7391	LRP3	4037
USF1	7391	LRIG3	121227
USF1	7391	LONRF3	79836
USF1	7391	LOC648809	648809
USF1	7391	LOC641518	641518
USF1	7391	LOC400043	400043
USF1	7391	LOC284023	284023
USF1	7391	LOC100506713	100506713
USF1	7391	LOC100506710	100506710
USF1	7391	LOC100505681	100505681
USF1	7391	LOC100505676	100505676
USF1	7391	LOC100293534	100293534
USF1	7391	LIPC	3990
USF1	7391	LIN54	132660
USF1	7391	LIN28A	79727
USF1	7391	LETM2	137994
USF1	7391	LAP3	51056
USF1	7391	KLF9	687
USF1	7391	KLF6	1316
USF1	7391	KLF4	9314
USF1	7391	KIF26B	55083
USF1	7391	KIAA2013	90231
USF1	7391	KIAA1715	80856
USF1	7391	KIAA0895	23366
USF1	7391	KIAA0664	23277
USF1	7391	KHDRBS1	10657
USF1	7391	KDM4C	23081
USF1	7391	KDM3A	55818
USF1	7391	KCNH4	23415
USF1	7391	KANSL1L	151050
USF1	7391	KANSL1-AS1	644246
USF1	7391	KANSL1	284058
USF1	7391	ISG20	3669
USF1	7391	IRF9	10379
USF1	7391	IQCG	84223
USF1	7391	IPO4	79711
USF1	7391	IPO13	9670
USF1	7391	IP6K1	9807
USF1	7391	INF2	64423
USF1	7391	ILF3	3609
USF1	7391	IL34	146433
USF1	7391	IL3	3562
USF1	7391	IGSF9	57549
USF1	7391	IGF2R	3482
USF1	7391	HSPBAP1	79663
USF1	7391	HSPA8	3312
USF1	7391	HOXD9	3235
USF1	7391	HOXD-AS1	401022
USF1	7391	HOXC9	3225
USF1	7391	HOXC13	3229
USF1	7391	HOXB7	3217
USF1	7391	HOXB4	3214
USF1	7391	HOXA5	3202
USF1	7391	HOXA1	3198
USF1	7391	HOXA-AS4	100874323
USF1	7391	HOTAIR	100124700
USF1	7391	HNRNPF	3185
USF1	7391	HN1L	90861
USF1	7391	HMOX1	3162
USF1	7391	HMHA1	23526
USF1	7391	HES6	55502
USF1	7391	HES1	3280
USF1	7391	GTF2I	2969
USF1	7391	GTF2H1	2965
USF1	7391	GPM6B	2824
USF1	7391	GPC2	221914
USF1	7391	GOLIM4	27333
USF1	7391	GNS	2799
USF1	7391	GLYR1	84656
USF1	7391	GGN	199720
USF1	7391	GCLC	2729
USF1	7391	GAPDH	2597
USF1	7391	G6PC3	92579
USF1	7391	FSHR	2492
USF1	7391	FOXP1	27086
USF1	7391	FOXD3	27022
USF1	7391	FMR1	2332
USF1	7391	FLJ43663	378805
USF1	7391	FLJ42351	400999
USF1	7391	FFAR2	2867
USF1	7391	FES	2242
USF1	7391	FCHSD2	9873
USF1	7391	FBXO44	93611
USF1	7391	FASTK	10922
USF1	7391	FASN	2194
USF1	7391	FAM3C	10447
USF1	7391	FAM184B	27146
USF1	7391	FAM179B	23116
USF1	7391	FAM154B	283726
USF1	7391	FAM125B	89853
USF1	7391	FAM118B	79607
USF1	7391	FAM116A	201627
USF1	7391	FAM113A	64773
USF1	7391	ESRP2	80004
USF1	7391	EIF4G1	1981
USF1	7391	EIF4E	1977
USF1	7391	EIF3K	27335
USF1	7391	EGLN2	112398
USF1	7391	EEF2	1938
USF1	7391	EEF1E1-MUTED	100526837
USF1	7391	EEF1E1	9521
USF1	7391	DYM	54808
USF1	7391	DVL2	1856
USF1	7391	DUSP7	1849
USF1	7391	DOHH	83475
USF1	7391	DNASE2	1777
USF1	7391	DNAJC8	22826
USF1	7391	DNAJB9	4189
USF1	7391	DLX2	1746
USF1	7391	DLG1	1739
USF1	7391	DLEU7	220107
USF1	7391	DIRC2	84925
USF1	7391	DIABLO	56616
USF1	7391	DENND2D	79961
USF1	7391	DDX3X	1654
USF1	7391	DCTPP1	79077
USF1	7391	DCAF17	80067
USF1	7391	CXorf56	63932
USF1	7391	CUTA	51596
USF1	7391	CTSF	8722
USF1	7391	CTSD	1509
USF1	7391	CTSB	1508
USF1	7391	CTSA	5476
USF1	7391	CTF1	1489
USF1	7391	CTBP2	1488
USF1	7391	CPEB4	80315
USF1	7391	CPEB1	64506
USF1	7391	COPS7A	50813
USF1	7391	COMTD1	118881
USF1	7391	CNPY2	10330
USF1	7391	CNNM2	54805
USF1	7391	CLCN5	1184
USF1	7391	CHTF8	54921
USF1	7391	CHRM1	1128
USF1	7391	CEBPA	1050
USF1	7391	CEACAM6	4680
USF1	7391	CDKL3	51265
USF1	7391	CDK5	1020
USF1	7391	CD3EAP	10849
USF1	7391	CD164	8763
USF1	7391	CCNYL1	151195
USF1	7391	CCND2	894
USF1	7391	CCND1	595
USF1	7391	CCNB1	891
USF1	7391	CCDC47	57003
USF1	7391	CC2D1B	200014
USF1	7391	CBX5	23468
USF1	7391	CASP9	842
USF1	7391	CAMK2D	817
USF1	7391	CALR	811
USF1	7391	CAD	790
USF1	7391	C9orf85	138241
USF1	7391	C4B	721
USF1	7391	C2CD4A	145741
USF1	7391	C1orf51	148523
USF1	7391	C1orf43	25912
USF1	7391	C19orf47	126526
USF1	7391	C19orf40	91442
USF1	7391	C19orf26	255057
USF1	7391	C17orf49	124944
USF1	7391	C17orf102	400591
USF1	7391	C16orf72	29035
USF1	7391	C12orf32	83695
USF1	7391	BZRAP1	9256
USF1	7391	BTF3L4	91408
USF1	7391	BRCA2	675
USF1	7391	BNIP3L	665
USF1	7391	BLOC1S1-RDH5	100528022
USF1	7391	BLOC1S1	2647
USF1	7391	BEND3	57673
USF1	7391	BCL7C	9274
USF1	7391	BCAS3	54828
USF1	7391	B3GNT9	84752
USF1	7391	ATXN3	4287
USF1	7391	ATOH8	84913
USF1	7391	ATG3	64422
USF1	7391	ATF7IP	55729
USF1	7391	ATAD3B	83858
USF1	7391	ASS1	445
USF1	7391	ASPHD1	253982
USF1	7391	ARSG	22901
USF1	7391	ARMC6	93436
USF1	7391	ARL3	403
USF1	7391	ARHGEF3	50650
USF1	7391	ARHGEF10	9639
USF1	7391	ARFGEF2	10564
USF1	7391	AQP5	362
USF1	7391	APEX1	328
USF1	7391	APC	324
USF1	7391	AP1S2	8905
USF1	7391	ANXA6	309
USF1	7391	ANKRD12	23253
USF1	7391	AMPD3	272
USF1	7391	AMPD2	271
USF1	7391	AMN	81693
USF1	7391	AMMECR1	9949
USF1	7391	ALDH6A1	4329
USF1	7391	AKT1S1	84335
USF1	7391	AKAP1	8165
USF1	7391	AK4	205
USF1	7391	AIMP2	7965
USF1	7391	AGTRAP	57085
USF1	7391	ADRA2B	151
USF1	7391	ADNP2	22850
USF1	7391	ADCY3	109
USF1	7391	ADAM10	102
USF1	7391	ACY1	95
USF1	7391	ACACA	31
USF1	7391	ABCB6	10058
USF1	7391	AATF	26574
TP53	7157	ZMAT3	64393
TP53	7157	TP53I3	9540
TP53	7157	TNFRSF10B	8795
TP53	7157	THBS1	7057
TP53	7157	TBXAS1	6916
TP53	7157	SFN	2810
TP53	7157	SESN2	83667
TP53	7157	SESN1	27244
TP53	7157	SERPINB5	5268
TP53	7157	RRM2B	50484
TP53	7157	PTEN	5728
TP53	7157	PRG3	10394
TP53	7157	PERP	64065
TP53	7157	NFATC4	4776
TP53	7157	MAP4	4134
TP53	7157	JAK2	3717
TP53	7157	IGFBP3	3486
TP53	7157	IGF2	3481
TP53	7157	HRAS	3265
TP53	7157	HIPK1	204851
TP53	7157	HIC1	3090
TP53	7157	GADD45A	1647
TP53	7157	FAS	355
TP53	7157	ETS2	2114
TP53	7157	DDIT4	54541
TP53	7157	DDB2	1643
TP53	7157	CD82	3732
TP53	7157	CAV1	857
TP53	7157	BTG2	7832
TP53	7157	BAI1	575
TP53	7157	APAF1	317
TFAP2C	7022	ZSWIM6	57688
TFAP2C	7022	ZNFX1	57169
TFAP2C	7022	ZNF653	115950
TFAP2C	7022	ZNF593	51042
TFAP2C	7022	ZDHHC2	51201
TFAP2C	7022	TRIM8	81603
TFAP2C	7022	TPGS1	91978
TFAP2C	7022	TNPO1	3842
TFAP2C	7022	TEAD2	8463
TFAP2C	7022	TBCC	6903
TFAP2C	7022	SYT7	9066
TFAP2C	7022	SUMO2	6613
TFAP2C	7022	SMEK1	55671
TFAP2C	7022	SMAD7	4092
TFAP2C	7022	SKIL	6498
TFAP2C	7022	SERTAD3	29946
