	mi2		
5116.5	7335.4	0.05693331	0.05892554
5116.5	7287.4	0.1906224	0.1972927
5116.5	7170.4	0.02412822	0.02497252
5116.5	387521.4	0.1533527	0.1587188
5116.5	6668.4	0.07842506	0.08116933
5116.5	79086.4	0.2292774	0.2373004
5116.5	55238.4	0.001034414	0.00107061
5116.5	3177.4	0.2627001	0.2718925
5116.5	641455.4	0.05742156	0.05943087
5116.5	404785.4	0.1977936	0.2047148
5116.5	5306.4	0.2835323	0.2934537
5116.5	23761.4	0.335417	0.347154
5116.5	57649.4	0.1640465	0.1697869
5116.5	11331.4	0.001536373	0.001590135
5116.5	4782.4	0.1377301	0.1425496
5116.5	4681.4	0.3014643	0.3120132
5116.5	4524.4	0.2910426	0.3012268
5116.5	4478.4	0.09711491	0.1005132
5116.5	92312.4	0.2171288	0.2247266
5116.5	8930.4	0.09864027	0.1020919
5116.5	25875.4	0.2181913	0.2258263
5116.5	3798.4	0.3706833	0.3836543
5116.5	3752.4	0.691551	0.71575
5116.5	23308.4	0.2605003	0.2696158
5116.5	26508.4	0.2777903	0.2875108
5116.5	2553.4	0.4628662	0.479063
5116.5	2048.4	0.4877985	0.5048677
5116.5	1431.4	0.121582	0.1258364
5116.5	83716.4	0.3811698	0.3945078
5116.5	29956.4	0.06345785	0.06567838
5116.5	1017.4	0.2340714	0.2422621
5116.5	27113.4	0.2680583	0.2774383
5116.5	64359.4	0.1931591	0.1999182
5116.5	7517.4	0.3960344	0.4098926
5116.5	2738.4	0.4459917	0.461598
5116.5	25780.4	0.2574995	0.26651
5116.5	5305.4	0.2721522	0.2816754
5116.5	54558.4	0.340616	0.3525349
5116.5	115019.4	0.2695199	0.278951
5116.5	57524.4	0.2759742	0.2856312
5116.5	54905.4	0.2515069	0.2603077
5116.5	219699.4	0.3393672	0.3512424
5116.5	9049.4	0.1976236	0.2045389
5116.5	10714.4	0.2584358	0.267479
5116.5	6496.4	0.4703569	0.4868158
5116.5	368.4	0.2949615	0.3052829
5116.5	4249.4	0.2356392	0.2438847
5116.5	2814.4	0.3697837	0.3827233
5116.5	8061.4	0.1489636	0.1541762
5116.5	92558.4	0.4419312	0.4573954
5116.5	84446.4	0.2052947	0.2124784
5116.5	55655.4	0.264081	0.2733217
5116.5	143879.4	0.237204	0.2455043
5116.5	84948.4	0.2709613	0.2804429
5116.5	131965.4	0.08860021	0.09170053
5116.5	8193.4	0.238368	0.246709
5116.5	23270.4	0.3486605	0.3608609
5116.5	3166.4	0.1946598	0.2014714
5116.5	875.4	0.4192601	0.433931
5116.5	64115.4	0.1130443	0.1169999
5116.5	3241.4	0.05663394	0.05861569
5116.5	3750.4	0.05147619	0.05327745
5116.5	10660.4	0.1979834	0.2049112
5116.5	114904.4	0.3027103	0.3133028
5116.5	10948.4	0.2134294	0.2208977
5116.5	153571.4	0.3543094	0.3667075
5116.5	26050.4	0.3320029	0.3436204
5116.5	113178.4	0.1048244	0.1084924
5116.5	810.4	0.1331787	0.1378389
5116.5	5029.4	0.1118764	0.1157912
5116.5	64122.4	0.02958483	0.03062007
5116.5	57156.4	0.3712022	0.3841914
5116.5	254427.4	0.2652173	0.2744979
5116.5	51665.4	0.3348416	0.3465584
5116.5	7379.4	0.2479905	0.2566683
5116.5	8082.4	0.328093	0.3395737
5116.5	10014.4	0.1682267	0.1741134
5116.5	79650.4	0.1573461	0.1628519
5116.5	57716.4	0.3332707	0.3449326
5116.5	389072.4	0.1263242	0.1307445
5116.5	4641.4	0.08658286	0.08961259
5116.5	2036.4	0.4914632	0.5086606
5116.5	1746.4	0.4512988	0.4670908
5116.5	9776.4	0.07720998	0.07991174
5116.5	57514.4	0.2755394	0.2851811
5116.5	55687.4	0.2413067	0.2497505
5116.5	79583.4	0.2594576	0.2685366
5116.5	161291.4	0.5216654	0.5399196
5116.5	5000.4	0.1638884	0.1696232
5116.5	145645.4	0.4747405	0.4913528
5116.5	124590.4	0.2960895	0.3064504
5116.5	51312.4	0.2199719	0.2276692
5116.5	59284.4	0.01063715	0.01100937
5116.5	8870.4	0.2354942	0.2437347
5116.5	57185.4	0.165988	0.1717963
5116.5	57711.4	0.1101711	0.1140263
5116.5	29108.4	0.3577346	0.3702526
5116.5	79576.4	0.07555411	0.07819792
5116.5	144110.4	0.2484429	0.2571365
5116.5	55790.4	0.3535124	0.3658826
5116.5	83871.4	0.3568451	0.3693319
5116.5	56648.4	0.4078904	0.4221634
5116.5	84084.4	0.2055102	0.2127015
5116.5	353132.4	0.1120469	0.1159677
5116.5	864.4	0.07855034	0.08129899
5116.5	440730.4	0.1596429	0.1652292
5116.5	100505591.4	0.2887904	0.2988958
5116.5	1435.4	0.4364892	0.4517629
5116.5	1400.4	0.2310591	0.2391443
5116.5	202915.4	0.566636	0.5864639
5116.5	221184.4	0.2601587	0.2692623
5116.5	2906.4	0.09086331	0.09404282
5116.5	23108.4	0.5430908	0.5620948
5116.5	10094.4	0.04705214	0.0486986
5116.5	22895.4	0.2976741	0.3080904
5116.5	1952.4	0.3156871	0.3267337
5116.5	10287.4	0.3062895	0.3170073
5116.5	54913.4	0.5558281	0.5752778
5116.5	440073.4	0.3251225	0.3364993
5116.5	55861.4	0.2247975	0.2326637
5116.5	84894.4	0.5598133	0.5794024
5116.5	10755.4	0.232113	0.2402352
5116.5	6374.4	0.5810207	0.6013519
5116.5	51755.4	0.03353785	0.03471141
5116.5	55214.4	0.1944461	0.2012502
5116.5	81565.4	0.00857602	0.008876114
5116.5	868.4	0.2598741	0.2689677
5116.5	8821.4	0.1152753	0.1193091
5116.5	2014.4	0.2315686	0.2396717
5116.5	22992.4	0.06607062	0.06838258
5116.5	3280.4	0.06467763	0.06694085
5116.5	7165.4	0.181521	0.1878729
5116.5	8079.4	0.03368335	0.03486201
5116.5	4923.4	0.4128438	0.4272901
5116.5	26205.4	0.1754786	0.181619
5116.5	140576.4	0.2752136	0.2848439
5116.5	23125.4	0.1269918	0.1314355
5116.5	1277.4	0.181711	0.1880695
5116.5	5364.4	0.2501135	0.2588655
5116.5	9368.4	0.003327035	0.003443455
5116.5	79651.4	0.2780038	0.2877318
5116.5	51147.4	0.1647565	0.1705217
5116.5	5818.4	0.2045558	0.2117136
5116.5	402.4	0.5916052	0.6123068
5116.5	170954.4	0.1333627	0.1380293
5116.5	100507588.4	0.675951	0.6996041
5116.5	92949.4	0.524482	0.5428348
5116.5	25959.4	0.1328955	0.1375458
5116.5	867.4	0.1903594	0.1970205
5116.5	51114.4	0.1652589	0.1710417
5116.5	9622.4	0.3514439	0.3637417
5116.5	79977.4	0.5916462	0.6123492
3565.5	2064.4	0.09792065	0.1013471
3565.5	58155.4	0.0599623	0.06206052
3565.5	7414.4	0.03629467	0.0375647
