GENE	SCORE	Y
10513	0.00039315594725681337	0.0
10516	0.0005130359526832142	0.0007384338203826876
10514	0.0004153980279995405	0.0
8867	0.001160682886934238	0.0
8864	0.001014846962456049	0.0007384338203826876
8862	0.0	0.0
8863	0.0007247670675575498	0.0
8861	0.000584715778923799	0.0
6775098	0.00016452117060729207	0.0
84717	3.518958363895081e-05	0.0
123283	4.363032061196488e-05	0.0
553115	0.00011253719225818142	0.0
149483	0.0002849914471633438	0.0
157739	0.0	0.0
440193	0.0005603035474770512	0.0007384338203826876
728037	1.9320663192196605e-05	0.0
54033	1.702318474121758e-05	0.0
54039	6.376982084511281e-05	0.0
168544	8.82870457270026e-05	0.0
79724	7.106086374483758e-05	0.0
79720	0.0001498725811723498	0.0
79723	0.0001969768406820236	0.0
79728	0.007766903293894923	0.014625713645003693
282809	1.8777760239470565e-05	0.0
5670	0.00013235539318540206	0.0
5671	5.730761007315815e-05	0.0
5673	3.195735420370473e-05	0.0
197259	3.6936280048980696e-05	0.0
5676	0.0001018837709463259	0.0
5678	0.0002856467598294249	0.0
197257	1.1905934069954503e-05	0.0
55120	0.0001447333311032378	0.0
55122	6.842160391403209e-05	0.0
55124	9.075395337902502e-05	0.0
55125	1.7257010908443525e-05	0.0
55127	0.00016424742524791323	0.0
93611	0.0001290977565911651	0.0
23710	9.048956971686828e-05	0.0
6436	0.0002191265885568114	0.0
6435	0.0011683313632173077	0.0
6434	0.00023846897433116822	0.0
6433	1.1504686724081619e-05	0.0
6432	0.00015028963122410425	0.0
6431	0.00012067511395086177	0.0
6430	0.00010231063500790662	0.0
27006	1.9562058949656995e-05	0.0
27004	5.2422079105710745e-05	0.0
27005	0.0005660417259125577	0.0
27000	3.80731946141093e-05	0.0
445815	0.00015184186873806586	0.0
55785	3.8888548953210414e-05	0.0
55787	7.901931963385787e-06	0.0
221504	6.125599455901223e-06	0.0
9943	0.0004031426335040529	0.0
56479	0.00023294273679172313	0.0
56478	0.0002458993236146566	0.0
9948	6.553053428887423e-05	0.0
56477	3.170725387917019e-05	0.0
56475	0.00027538136299261784	0.0
56474	4.428522622695526e-05	0.0
