GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000173349	0.0	0.0007284125998450145	1135.0	0.548
ENSG00000173369	0.0037773920073051266	0.016741648791633187	11642.0	0.944
ENSG00000173372	0.014226008115863659	0.027685122329314835	14112.0	0.633
ENSG00000173376	1.3390917841730015e-05	1.3390917841730015e-05	93.5	0.573
ENSG00000173389	0.006548910960098701	0.013668431522741557	10510.0	0.543
ENSG00000173391	0.03405435623119539	0.010780104952785152	9170.0	0.132
ENSG00000173402	0.15445726158245485	0.05568241798052441	16173.0	0.024
ENSG00000173404	0.025464272434161783	0.007819118721865075	7438.0	0.061
ENSG00000173406	0.0230074864202942	0.054962940339547045	16149.0	0.269
ENSG00000173409	0.0	0.007686685686611399	7350.0	0.657
ENSG00000173418	0.0	0.0019241951309804026	2575.0	0.882
ENSG00000173421	0.0	0.020423788604857725	12688.0	0.592
ENSG00000173432	0.018239571196375426	0.009412099807688453	8408.0	0.342
ENSG00000173436	0.0	0.017454261000561074	11885.0	0.382
ENSG00000173451	0.0	0.004323839616071703	4814.0	0.955
ENSG00000173452	0.0	0.0	16.5	1.0
ENSG00000173456	0.0	0.014458143000381786	10817.0	0.772
ENSG00000173457	0.0	0.0011154574665629025	1460.0	0.851
ENSG00000173465	0.0	0.023852385359732227	13471.0	0.724
ENSG00000173467	0.0	0.009837144136530734	8649.0	0.365
ENSG00000173473	0.01235147115303577	0.05817511836179216	16242.0	0.704
ENSG00000173480	0.0	0.03906052055244379	15329.0	0.409
ENSG00000173482	0.018205288019376806	0.00787732217056769	7475.0	0.16
ENSG00000173486	0.0	0.011753247934209591	9646.0	0.781
ENSG00000173511	0.02047598589900804	0.013642451860416275	10496.0	0.644
ENSG00000173517	0.0	0.007837406624359045	7452.0	0.853
ENSG00000173530	0.0	0.02587572247219915	13837.0	0.698
ENSG00000173531	0.028126354908458412	0.007754058836608083	7395.0	0.232
ENSG00000173535	0.0	0.007101547367058786	6930.0	0.307
ENSG00000173540	0.14641701626529277	0.025989873879304844	13857.0	0.134
ENSG00000173542	1.3390917841730015e-05	0.02032445140898677	12661.0	0.758
ENSG00000173545	0.0	0.016439299802579545	11541.0	0.599
ENSG00000173546	0.01350474284654642	0.011911631052095799	9724.0	0.885
ENSG00000173548	0.0	0.006049400018840783	6189.0	0.873
ENSG00000173557	0.011826601781342393	0.011826601781342393	9689.0	0.258
ENSG00000173559	0.0	0.010403329508568458	8964.0	0.964
ENSG00000173566	0.0	0.022786619794112284	13240.0	0.107
